Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Nurse practitioners,Newfoundland and Labrador,Geography,Urban,82,88,98,102,106,115,134,150,178,215
Nurse practitioners,Newfoundland and Labrador,Geography,Rural/remote,54,60,65,62,74,71,68,76,76,71
Nurse practitioners,Newfoundland and Labrador,Geography,Not stated,0,0,0,0,0,3,3,3,4,4
Nurse practitioners,Prince Edward Island,Workforce,Total,14,22,24,28,38,45,,58,71,76
Nurse practitioners,Prince Edward Island,Inflow,Total,5,11,3,5,12,10,,,15,14
Nurse practitioners,Prince Edward Island,Inflow,Canadian educated,4,,3,5,9,10,,,15,13
Nurse practitioners,Prince Edward Island,Inflow,Internationally educated,0,,0,0,0,0,,,0,1
Nurse practitioners,Prince Edward Island,Inflow,Grad location not stated,1,,0,0,3,0,,,0,0
Nurse practitioners,Prince Edward Island,Outflow,Total,3,1,1,2,3,,,2,9,
Nurse practitioners,Prince Edward Island,Renewal,Total,9,11,21,23,26,35,,,56,62
Nurse practitioners,Prince Edward Island,Full-time/part-time status,Full time,13,17,18,21,32,41,,36,,
Nurse practitioners,Prince Edward Island,Full-time/part-time status,Part time,0,2,3,2,3,2,,21,,
Nurse practitioners,Prince Edward Island,Full-time/part-time status,Casual,1,3,3,5,3,2,,0,,
Nurse practitioners,Prince Edward Island,Full-time/part-time status,Not stated,0,0,0,0,0,0,,1,,
Nurse practitioners,Prince Edward Island,Place of work,Hospital,0,3,4,3,4,4,,7,7,
Nurse practitioners,Prince Edward Island,Place of work,Community health,12,14,15,17,17,20,,36,43,
Nurse practitioners,Prince Edward Island,Place of work,Nursing home/long-term care,0,2,1,3,4,4,,5,5,
Nurse practitioners,Prince Edward Island,Place of work,Other place of work,2,3,4,5,13,17,,10,15,
Nurse practitioners,Prince Edward Island,Place of work,Not stated,0,0,0,0,0,0,,0,1,
Nurse practitioners,Prince Edward Island,Position,Staff nurse,1,3,3,1,2,1,,3,2,
Nurse practitioners,Prince Edward Island,Position,Manager,0,0,0,0,0,0,,0,0,
Nurse practitioners,Prince Edward Island,Position,Other position,13,19,21,27,36,44,,55,69,
Nurse practitioners,Prince Edward Island,Position,Not stated,0,0,0,0,0,0,,0,0,
Nurse practitioners,Prince Edward Island,Area of practice,Direct care,13,21,23,26,36,42,,54,64,
Nurse practitioners,Prince Edward Island,Area of practice,Administration,0,0,0,1,1,2,,3,4,
Nurse practitioners,Prince Edward Island,Area of practice,Education,1,1,1,1,1,1,,1,1,
Nurse practitioners,Prince Edward Island,Area of practice,Research,0,0,0,0,0,0,,0,0,
Nurse practitioners,Prince Edward Island,Area of practice,Not stated,0,0,0,0,0,0,,0,2,
Nurse practitioners,Prince Edward Island,Geography,Urban,8,16,17,17,23,26,,43,53,58
Nurse practitioners,Prince Edward Island,Geography,Rural/remote,6,6,7,11,13,18,,14,15,10
Nurse practitioners,Prince Edward Island,Geography,Not stated,0,0,0,0,2,1,,1,3,8
Nurse practitioners,Nova Scotia,Workforce,Total,143,141,157,175,201,209,228,258,314,360
Nurse practitioners,Nova Scotia,Inflow,Total,13,13,27,29,34,27,40,44,72,71
Nurse practitioners,Nova Scotia,Inflow,Canadian educated,13,12,27,28,33,24,40,43,65,69
Nurse practitioners,Nova Scotia,Inflow,Internationally educated,0,1,0,1,1,3,0,1,7,2
Nurse practitioners,Nova Scotia,Inflow,Grad location not stated,0,0,0,0,0,0,0,0,0,0
Nurse practitioners,Nova Scotia,Outflow,Total,15,11,11,8,19,21,14,16,25,
Nurse practitioners,Nova Scotia,Renewal,Total,130,128,130,146,167,182,188,214,242,289
Nurse practitioners,Nova Scotia,Full-time/part-time status,Full time,123,125,130,147,169,176,195,220,268,286
Nurse practitioners,Nova Scotia,Full-time/part-time status,Part time,14,13,15,15,19,25,24,21,28,40
Nurse practitioners,Nova Scotia,Full-time/part-time status,Casual,6,3,12,13,13,8,9,17,18,25
Nurse practitioners,Nova Scotia,Full-time/part-time status,Not stated,0,0,0,0,0,0,0,0,0,9
Nurse practitioners,Nova Scotia,Place of work,Hospital,62,58,67,70,74,76,81,92,,
Nurse practitioners,Nova Scotia,Place of work,Community health,61,60,67,80,100,103,112,125,,
Nurse practitioners,Nova Scotia,Place of work,Nursing home/long-term care,2,2,2,3,3,3,2,3,,
Nurse practitioners,Nova Scotia,Place of work,Other place of work,18,21,21,22,24,27,33,38,,
Nurse practitioners,Nova Scotia,Place of work,Not stated,0,0,0,0,0,0,0,0,,
Nurse practitioners,Nova Scotia,Position,Staff nurse,5,4,11,14,15,6,9,6,16,
Nurse practitioners,Nova Scotia,Position,Manager,0,0,0,2,1,2,1,1,6,
Nurse practitioners,Nova Scotia,Position,Other position,138,137,146,159,185,201,218,251,292,
Nurse practitioners,Nova Scotia,Position,Not stated,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Nova Scotia,Area of practice,Direct care,138,134,149,165,192,199,221,251,295,
Nurse practitioners,Nova Scotia,Area of practice,Administration,1,1,2,3,2,3,1,1,3,
Nurse practitioners,Nova Scotia,Area of practice,Education,4,5,5,7,7,7,6,6,14,
Nurse practitioners,Nova Scotia,Area of practice,Research,0,1,1,0,0,0,0,0,2,
Nurse practitioners,Nova Scotia,Area of practice,Not stated,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Nova Scotia,Geography,Urban,91,89,104,120,142,148,160,179,,
Nurse practitioners,Nova Scotia,Geography,Rural/remote,50,52,53,55,58,58,66,77,,
Nurse practitioners,Nova Scotia,Geography,Not stated,2,0,0,0,1,3,2,2,,
Nurse practitioners,New Brunswick,Workforce,Total,106,113,121,126,135,144,152,161,191,219
Nurse practitioners,New Brunswick,Inflow,Total,16,16,17,17,19,14,16,22,37,44
Nurse practitioners,New Brunswick,Inflow,Canadian educated,16,16,17,17,17,13,14,21,33,44
Nurse practitioners,New Brunswick,Inflow,Internationally educated,0,0,0,0,2,1,2,1,3,0
Nurse practitioners,New Brunswick,Inflow,Grad location not stated,0,0,0,0,0,0,0,0,1,0
Nurse practitioners,New Brunswick,Outflow,Total,9,9,12,10,5,8,13,7,16,
Nurse practitioners,New Brunswick,Renewal,Total,90,97,104,109,116,130,136,139,154,175
Nurse practitioners,New Brunswick,Full-time/part-time status,Full time,83,90,100,103,110,113,120,128,131,134
Nurse practitioners,New Brunswick,Full-time/part-time status,Part time,11,12,12,13,16,16,17,15,39,74
Nurse practitioners,New Brunswick,Full-time/part-time status,Casual,12,11,9,10,9,15,15,18,20,10
Nurse practitioners,New Brunswick,Full-time/part-time status,Not stated,0,0,0,0,0,0,0,0,1,1
Nurse practitioners,New Brunswick,Place of work,Hospital,31,35,32,32,32,31,22,28,57,59
Nurse practitioners,New Brunswick,Place of work,Community health,53,60,69,75,79,90,98,107,83,87
Nurse practitioners,New Brunswick,Place of work,Nursing home/long-term care,6,6,6,4,5,4,4,5,4,3
Nurse practitioners,New Brunswick,Place of work,Other place of work,16,12,14,15,19,19,28,21,46,69
Nurse practitioners,New Brunswick,Place of work,Not stated,0,0,0,0,0,0,0,0,1,1
Nurse practitioners,New Brunswick,Position,Staff nurse,15,16,12,13,8,13,9,7,4,6
Nurse practitioners,New Brunswick,Position,Manager,1,2,4,1,2,1,0,2,0,5
Nurse practitioners,New Brunswick,Position,Other position,90,95,105,112,125,130,143,152,186,205
Nurse practitioners,New Brunswick,Position,Not stated,0,0,0,0,0,0,0,0,1,3
Nurse practitioners,New Brunswick,Area of practice,Direct care,100,107,113,121,130,139,146,158,171,211
Nurse practitioners,New Brunswick,Area of practice,Administration,0,1,1,1,0,0,0,0,0,0
Nurse practitioners,New Brunswick,Area of practice,Education,6,5,7,4,5,5,6,3,1,2
Nurse practitioners,New Brunswick,Area of practice,Research,0,0,0,0,0,0,0,0,0,0
Nurse practitioners,New Brunswick,Area of practice,Not stated,0,0,0,0,0,0,0,0,19,6
Nurse practitioners,New Brunswick,Geography,Urban,66,66,71,72,79,86,98,108,134,150
Nurse practitioners,New Brunswick,Geography,Rural/remote,40,47,50,54,56,58,54,53,57,57
Nurse practitioners,New Brunswick,Geography,Not stated,0,0,0,0,0,0,0,0,0,12
Nurse practitioners,Quebec,Workforce,Total,303,378,431,503,542,679,939,"1,172","1,402","1,655"
Nurse practitioners,Quebec,Inflow,Total,58,83,60,85,55,153,271,255,251,275
Nurse practitioners,Quebec,Inflow,Canadian educated,58,83,59,83,55,149,264,251,248,271
Nurse practitioners,Quebec,Inflow,Internationally educated,0,0,1,2,0,4,7,4,3,4
Nurse practitioners,Quebec,Inflow,Grad location not stated,0,0,0,0,0,0,0,0,0,0
Nurse practitioners,Quebec,Outflow,Total,8,7,13,16,16,11,22,21,22,
Nurse practitioners,Quebec,Renewal,Total,245,295,371,418,487,526,668,917,"1,151","1,380"
Nurse practitioners,Quebec,Full-time/part-time status,Full time,288,356,407,475,506,627,877,"1,090","1,273","1,518"
Nurse practitioners,Quebec,Full-time/part-time status,Part time,13,20,23,26,30,44,47,63,100,107
Nurse practitioners,Quebec,Full-time/part-time status,Casual,2,2,1,2,6,8,15,19,29,30
Nurse practitioners,Quebec,Full-time/part-time status,Not stated,0,0,0,0,0,0,0,0,0,0
Nurse practitioners,Quebec,Place of work,Hospital,130,144,157,170,169,220,310,,,
Nurse practitioners,Quebec,Place of work,Community health,135,192,229,285,309,385,515,,,
Nurse practitioners,Quebec,Place of work,Nursing home/long-term care,27,31,32,29,33,33,45,,,
Nurse practitioners,Quebec,Place of work,Other place of work,10,9,10,19,31,41,59,,,
Nurse practitioners,Quebec,Place of work,Not stated,1,2,3,0,0,0,10,,,
Nurse practitioners,Quebec,Position,Staff nurse,13,9,5,7,8,7,20,18,19,12
Nurse practitioners,Quebec,Position,Manager,2,3,4,6,14,12,16,25,41,51
Nurse practitioners,Quebec,Position,Other position,288,366,422,490,520,660,903,"1,129","1,340","1,592"
Nurse practitioners,Quebec,Position,Not stated,0,0,0,0,0,0,0,0,2,0
Nurse practitioners,Quebec,Area of practice,Direct care,297,370,420,481,519,655,910,"1,133","1,341","1,540"
Nurse practitioners,Quebec,Area of practice,Administration,3,4,5,10,14,12,16,25,42,51
Nurse practitioners,Quebec,Area of practice,Education,3,4,6,10,9,12,13,14,18,26
Nurse practitioners,Quebec,Area of practice,Research,0,0,0,0,0,0,0,0,1,1
Nurse practitioners,Quebec,Area of practice,Not stated,0,0,0,2,0,0,0,0,0,37
Nurse practitioners,Quebec,Geography,Urban,244,309,357,419,452,582,816,"1,016","1,221","1,389"
Nurse practitioners,Quebec,Geography,Rural/remote,58,69,74,84,90,97,123,156,181,218
Nurse practitioners,Quebec,Geography,Not stated,1,0,0,0,0,0,0,0,0,48
Nurse practitioners,Ontario,Workforce,Total,"2,405","2,646","2,855","3,032","3,273","3,454","3,649","3,896","4,169","4,493"
Nurse practitioners,Ontario,Inflow,Total,317,358,379,360,401,397,408,516,506,576
Nurse practitioners,Ontario,Inflow,Canadian educated,298,344,357,345,380,368,374,482,472,536
Nurse practitioners,Ontario,Inflow,Internationally educated,19,14,22,15,21,29,34,34,34,40
Nurse practitioners,Ontario,Inflow,Grad location not stated,0,0,0,0,0,0,0,0,0,0
Nurse practitioners,Ontario,Outflow,Total,117,170,183,160,216,213,269,233,252,
Nurse practitioners,Ontario,Renewal,Total,"2,088","2,288","2,476","2,672","2,872","3,057","3,241","3,380","3,663","3,917"
Nurse practitioners,Ontario,Full-time/part-time status,Full time,"1,961","2,132","2,207","2,352","2,510","2,631","2,778","2,951","3,190","3,425"
Nurse practitioners,Ontario,Full-time/part-time status,Part time,384,456,560,580,655,710,734,795,801,887
Nurse practitioners,Ontario,Full-time/part-time status,Casual,60,58,88,100,108,113,137,150,178,181
Nurse practitioners,Ontario,Full-time/part-time status,Not stated,0,0,0,0,0,0,0,0,0,0
Nurse practitioners,Ontario,Place of work,Hospital,957,"1,041","1,141","1,175","1,261","1,325","1,371","1,469","1,531","1,659"
Nurse practitioners,Ontario,Place of work,Community health,686,730,779,820,867,933,977,"1,078","1,108","1,142"
Nurse practitioners,Ontario,Place of work,Nursing home/long-term care,52,56,80,102,96,100,118,119,132,172
Nurse practitioners,Ontario,Place of work,Other place of work,710,819,855,935,"1,048","1,096","1,183","1,230","1,398","1,518"
Nurse practitioners,Ontario,Place of work,Not stated,0,0,0,0,1,0,0,0,0,2
Nurse practitioners,Ontario,Position,Staff nurse,105,124,150,141,152,138,149,140,111,114
Nurse practitioners,Ontario,Position,Manager,39,36,39,30,33,33,33,46,51,41
Nurse practitioners,Ontario,Position,Other position,"2,261","2,486","2,666","2,858","3,086","3,260","3,466","3,709","4,006","4,328"
Nurse practitioners,Ontario,Position,Not stated,0,0,0,3,2,23,1,1,1,10
Nurse practitioners,Ontario,Area of practice,Direct care,"2,354","2,576","2,792","2,949","3,185","3,333","3,544","3,797","4,060","4,375"
Nurse practitioners,Ontario,Area of practice,Administration,20,33,22,19,24,32,37,31,36,36
Nurse practitioners,Ontario,Area of practice,Education,31,37,41,59,58,67,66,68,73,82
Nurse practitioners,Ontario,Area of practice,Research,,,,,,,,,,
Nurse practitioners,Ontario,Area of practice,Not stated,0,0,0,5,6,22,2,0,0,0
Nurse practitioners,Ontario,Geography,Urban,"2,109","2,307","2,520","2,687","2,902","3,075","3,254","3,472","3,743","4,042"
Nurse practitioners,Ontario,Geography,Rural/remote,296,337,332,345,369,377,393,424,426,451
Nurse practitioners,Ontario,Geography,Not stated,0,2,3,0,2,2,2,0,0,0
Nurse practitioners,Manitoba,Workforce,Total,148,162,167,174,,,,,,
Nurse practitioners,Manitoba,Inflow,Total,34,24,12,24,,,,,,
Nurse practitioners,Manitoba,Inflow,Canadian educated,34,23,12,23,,,,,,
Nurse practitioners,Manitoba,Inflow,Internationally educated,0,1,0,1,,,,,,
Nurse practitioners,Manitoba,Inflow,Grad location not stated,0,0,0,0,,,,,,
Nurse practitioners,Manitoba,Outflow,Total,10,7,17,,,,,,,
Nurse practitioners,Manitoba,Renewal,Total,114,138,155,150,,,,,,
Nurse practitioners,Manitoba,Full-time/part-time status,Full time,85,93,96,97,,,,,,
Nurse practitioners,Manitoba,Full-time/part-time status,Part time,56,62,67,62,,,,,,
Nurse practitioners,Manitoba,Full-time/part-time status,Casual,5,7,4,14,,,,,,
Nurse practitioners,Manitoba,Full-time/part-time status,Not stated,2,0,0,1,,,,,,
Nurse practitioners,Manitoba,Place of work,Hospital,28,29,25,27,,,,,,
Nurse practitioners,Manitoba,Place of work,Community health,85,102,106,105,,,,,,
Nurse practitioners,Manitoba,Place of work,Nursing home/long-term care,3,3,4,4,,,,,,
Nurse practitioners,Manitoba,Place of work,Other place of work,31,27,29,38,,,,,,
Nurse practitioners,Manitoba,Place of work,Not stated,1,1,3,0,,,,,,
Nurse practitioners,Manitoba,Position,Staff nurse,7,5,1,4,,,,,,
Nurse practitioners,Manitoba,Position,Manager,1,2,3,2,,,,,,
Nurse practitioners,Manitoba,Position,Other position,139,154,159,168,,,,,,
Nurse practitioners,Manitoba,Position,Not stated,1,1,4,0,,,,,,
Nurse practitioners,Manitoba,Area of practice,Direct care,126,138,153,167,,,,,,
Nurse practitioners,Manitoba,Area of practice,Administration,2,2,4,1,,,,,,
Nurse practitioners,Manitoba,Area of practice,Education,12,14,6,6,,,,,,
Nurse practitioners,Manitoba,Area of practice,Research,6,7,0,0,,,,,,
Nurse practitioners,Manitoba,Area of practice,Not stated,2,1,4,0,,,,,,
Nurse practitioners,Manitoba,Geography,Urban,112,123,128,135,,,,,,
Nurse practitioners,Manitoba,Geography,Rural/remote,36,39,39,39,,,,,,
Nurse practitioners,Manitoba,Geography,Not stated,0,0,0,0,,,,,,
Nurse practitioners,Saskatchewan,Workforce,Total,172,192,204,215,232,226,240,263,254,267
Nurse practitioners,Saskatchewan,Inflow,Total,25,28,27,22,28,16,32,36,23,36
Nurse practitioners,Saskatchewan,Inflow,Canadian educated,23,27,27,21,28,16,31,35,23,30
Nurse practitioners,Saskatchewan,Inflow,Internationally educated,0,0,0,1,0,0,1,1,0,1
Nurse practitioners,Saskatchewan,Inflow,Grad location not stated,2,1,0,0,0,0,0,0,0,5
Nurse practitioners,Saskatchewan,Outflow,Total,8,15,11,11,22,18,13,32,23,
Nurse practitioners,Saskatchewan,Renewal,Total,147,164,177,193,204,210,208,227,231,231
Nurse practitioners,Saskatchewan,Full-time/part-time status,Full time,133,149,152,150,161,159,169,179,180,194
Nurse practitioners,Saskatchewan,Full-time/part-time status,Part time,25,26,33,39,46,43,50,53,47,51
Nurse practitioners,Saskatchewan,Full-time/part-time status,Casual,14,17,19,26,25,24,21,31,27,22
Nurse practitioners,Saskatchewan,Full-time/part-time status,Not stated,0,0,0,0,0,0,0,0,0,0
Nurse practitioners,Saskatchewan,Place of work,Hospital,22,23,27,27,32,26,25,29,37,35
Nurse practitioners,Saskatchewan,Place of work,Community health,122,133,142,141,162,139,141,160,162,156
Nurse practitioners,Saskatchewan,Place of work,Nursing home/long-term care,3,6,4,4,7,7,8,7,9,5
Nurse practitioners,Saskatchewan,Place of work,Other place of work,15,18,23,28,31,31,45,47,46,36
Nurse practitioners,Saskatchewan,Place of work,Not stated,10,12,8,15,0,23,21,20,0,35
Nurse practitioners,Saskatchewan,Position,Staff nurse,1,1,1,2,9,0,2,2,7,1
Nurse practitioners,Saskatchewan,Position,Manager,1,2,3,3,2,0,1,1,2,1
Nurse practitioners,Saskatchewan,Position,Other position,160,177,192,195,221,203,216,240,245,230
Nurse practitioners,Saskatchewan,Position,Not stated,10,12,8,15,0,23,21,20,0,35
Nurse practitioners,Saskatchewan,Area of practice,Direct care,157,175,189,194,225,196,209,236,244,226
Nurse practitioners,Saskatchewan,Area of practice,Administration,2,1,2,2,1,3,4,3,3,1
Nurse practitioners,Saskatchewan,Area of practice,Education,3,4,5,4,6,4,6,4,7,5
Nurse practitioners,Saskatchewan,Area of practice,Research,0,0,0,0,0,0,0,0,0,0
Nurse practitioners,Saskatchewan,Area of practice,Not stated,10,12,8,15,0,23,21,20,0,35
Nurse practitioners,Saskatchewan,Geography,Urban,79,91,98,104,111,124,140,152,146,129
Nurse practitioners,Saskatchewan,Geography,Rural/remote,93,101,106,111,121,102,100,111,108,91
Nurse practitioners,Saskatchewan,Geography,Not stated,0,0,0,0,0,0,0,0,0,47
Nurse practitioners,Alberta,Workforce,Total,377,427,462,504,549,568,599,613,680,
Nurse practitioners,Alberta,Inflow,Total,51,82,64,73,76,52,68,58,108,
Nurse practitioners,Alberta,Inflow,Canadian educated,49,76,61,72,72,50,68,56,100,
Nurse practitioners,Alberta,Inflow,Internationally educated,2,5,3,1,4,2,0,2,6,
Nurse practitioners,Alberta,Inflow,Grad location not stated,0,1,0,0,0,0,0,0,2,
Nurse practitioners,Alberta,Outflow,Total,32,29,31,31,33,37,44,41,,
Nurse practitioners,Alberta,Renewal,Total,326,345,398,431,473,516,531,555,572,
Nurse practitioners,Alberta,Full-time/part-time status,Full time,283,265,322,347,371,368,378,368,393,
Nurse practitioners,Alberta,Full-time/part-time status,Part time,70,99,130,143,159,175,182,187,225,
Nurse practitioners,Alberta,Full-time/part-time status,Casual,20,3,10,12,18,25,39,42,49,
Nurse practitioners,Alberta,Full-time/part-time status,Not stated,4,60,0,2,1,0,0,16,13,
Nurse practitioners,Alberta,Place of work,Hospital,213,228,240,251,274,276,295,283,300,
Nurse practitioners,Alberta,Place of work,Community health,79,101,107,132,150,156,157,170,201,
Nurse practitioners,Alberta,Place of work,Nursing home/long-term care,8,17,19,27,23,26,31,33,37,
Nurse practitioners,Alberta,Place of work,Other place of work,70,78,92,94,102,110,116,127,142,
Nurse practitioners,Alberta,Place of work,Not stated,7,3,4,0,0,0,0,0,0,
Nurse practitioners,Alberta,Position,Staff nurse,40,16,19,18,27,24,30,37,26,
Nurse practitioners,Alberta,Position,Manager,4,2,2,7,5,4,6,5,10,
Nurse practitioners,Alberta,Position,Other position,327,406,437,479,517,540,563,571,644,
Nurse practitioners,Alberta,Position,Not stated,6,3,4,0,0,0,0,0,0,
Nurse practitioners,Alberta,Area of practice,Direct care,320,398,424,475,530,549,573,581,640,
Nurse practitioners,Alberta,Area of practice,Administration,5,7,9,9,7,6,9,10,15,
Nurse practitioners,Alberta,Area of practice,Education,14,8,14,9,11,12,15,19,23,
Nurse practitioners,Alberta,Area of practice,Research,1,1,2,1,1,1,2,3,2,
Nurse practitioners,Alberta,Area of practice,Not stated,37,13,13,10,0,0,0,0,0,
Nurse practitioners,Alberta,Geography,Urban,355,397,432,472,511,525,555,559,621,
Nurse practitioners,Alberta,Geography,Rural/remote,22,28,30,32,38,43,44,53,59,
Nurse practitioners,Alberta,Geography,Not stated,0,2,0,0,0,0,0,1,0,
Nurse practitioners,British Columbia,Workforce,Total,236,269,322,356,472,505,629,729,858,961
Nurse practitioners,British Columbia,Inflow,Total,57,81,86,84,142,73,149,132,158,142
Nurse practitioners,British Columbia,Inflow,Canadian educated,53,74,77,77,130,69,138,121,151,131
Nurse practitioners,British Columbia,Inflow,Internationally educated,4,7,9,6,12,3,10,10,5,10
Nurse practitioners,British Columbia,Inflow,Grad location not stated,0,0,0,1,0,1,1,1,2,1
Nurse practitioners,British Columbia,Outflow,Total,48,33,50,26,40,25,32,29,39,
Nurse practitioners,British Columbia,Renewal,Total,179,188,236,272,330,432,480,597,700,819
Nurse practitioners,British Columbia,Full-time/part-time status,Full time,181,202,227,256,334,356,451,507,578,638
Nurse practitioners,British Columbia,Full-time/part-time status,Part time,33,38,58,65,110,115,134,174,216,264
Nurse practitioners,British Columbia,Full-time/part-time status,Casual,22,26,37,35,28,34,39,46,63,58
Nurse practitioners,British Columbia,Full-time/part-time status,Not stated,0,3,0,0,0,0,5,2,1,1
Nurse practitioners,British Columbia,Place of work,Hospital,67,88,109,109,126,116,139,141,164,173
Nurse practitioners,British Columbia,Place of work,Community health,119,137,153,186,250,275,338,434,496,567
Nurse practitioners,British Columbia,Place of work,Nursing home/long-term care,7,7,8,8,10,13,10,9,10,9
Nurse practitioners,British Columbia,Place of work,Other place of work,39,35,52,53,72,99,129,133,171,198
Nurse practitioners,British Columbia,Place of work,Not stated,4,2,0,0,14,2,13,12,17,14
Nurse practitioners,British Columbia,Position,Staff nurse,14,20,24,12,11,7,5,5,8,8
Nurse practitioners,British Columbia,Position,Manager,0,5,2,2,2,7,7,5,6,8
Nurse practitioners,British Columbia,Position,Other position,218,242,296,342,447,490,609,713,835,938
Nurse practitioners,British Columbia,Position,Not stated,4,2,0,0,12,1,8,6,9,7
Nurse practitioners,British Columbia,Area of practice,Direct care,202,224,309,343,420,485,577,665,764,861
Nurse practitioners,British Columbia,Area of practice,Administration,3,5,5,7,8,11,11,8,14,16
Nurse practitioners,British Columbia,Area of practice,Education,7,5,8,6,9,7,11,10,10,9
Nurse practitioners,British Columbia,Area of practice,Research,0,0,0,0,0,0,0,0,1,1
Nurse practitioners,British Columbia,Area of practice,Not stated,24,35,0,0,35,2,30,46,69,74
Nurse practitioners,British Columbia,Geography,Urban,204,233,281,318,420,454,577,665,780,880
Nurse practitioners,British Columbia,Geography,Rural/remote,32,35,39,38,51,48,49,59,76,74
Nurse practitioners,British Columbia,Geography,Not stated,0,1,2,0,1,3,3,5,2,7
Nurse practitioners,Yukon,Workforce,Total,5,4,6,8,10,14,22,20,18,21
Nurse practitioners,Yukon,Inflow,Total,0,,,3,2,6,8,4,3,6
Nurse practitioners,Yukon,Inflow,Canadian educated,0,,,3,2,6,6,4,3,6
Nurse practitioners,Yukon,Inflow,Internationally educated,0,,,0,0,0,2,0,0,0
Nurse practitioners,Yukon,Inflow,Grad location not stated,0,,,0,0,0,0,0,0,0
Nurse practitioners,Yukon,Outflow,Total,,,1,0,2,0,6,5,3,
Nurse practitioners,Yukon,Renewal,Total,5,,,5,8,8,14,16,15,15
Nurse practitioners,Yukon,Full-time/part-time status,Full time,5,2,4,5,4,9,13,12,9,13
Nurse practitioners,Yukon,Full-time/part-time status,Part time,0,2,2,2,4,4,8,6,4,4
Nurse practitioners,Yukon,Full-time/part-time status,Casual,0,0,0,1,2,1,1,2,2,4
Nurse practitioners,Yukon,Full-time/part-time status,Not stated,0,0,0,0,0,0,0,0,3,0
Nurse practitioners,Yukon,Place of work,Hospital,0,1,0,3,1,1,1,4,2,
Nurse practitioners,Yukon,Place of work,Community health,3,1,2,4,5,10,8,7,13,
Nurse practitioners,Yukon,Place of work,Nursing home/long-term care,1,1,1,1,2,0,4,3,1,
Nurse practitioners,Yukon,Place of work,Other place of work,1,1,3,0,2,3,9,6,2,
Nurse practitioners,Yukon,Place of work,Not stated,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Yukon,Position,Staff nurse,0,1,0,1,0,4,1,0,1,0
Nurse practitioners,Yukon,Position,Manager,0,0,0,0,0,0,0,0,0,0
Nurse practitioners,Yukon,Position,Other position,5,3,6,6,10,10,21,20,17,20
Nurse practitioners,Yukon,Position,Not stated,0,0,0,1,0,0,0,0,0,1
Nurse practitioners,Yukon,Area of practice,Direct care,3,4,6,7,10,14,22,20,16,
Nurse practitioners,Yukon,Area of practice,Administration,0,0,0,0,0,0,0,0,1,
