Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Unnamed: 14,Unnamed: 15
Nurse practitioners,Newfoundland and Labrador,Outflow,Age not stated,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,
Nurse practitioners,Newfoundland and Labrador,Renewal,Total,124.0,,144.0,150.0,152.0,170.0,180.0,195.0,224,242.0,,
Nurse practitioners,Newfoundland and Labrador,Renewal,Age <35,4.0,,16.0,21.0,24.0,26.0,29.0,25.0,38,43.0,,
Nurse practitioners,Newfoundland and Labrador,Renewal,Age 35–54,97.0,,99.0,100.0,97.0,108.0,112.0,127.0,138,145.0,,
Nurse practitioners,Newfoundland and Labrador,Renewal,Age 55+,23.0,,29.0,29.0,31.0,36.0,39.0,43.0,48,54.0,,
Nurse practitioners,Newfoundland and Labrador,Renewal,Age not stated,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
Nurse practitioners,Newfoundland and Labrador,Employment status,Employed in profession,136.0,148.0,163.0,164.0,180.0,189.0,205.0,229.0,258,290.0,,
Nurse practitioners,Newfoundland and Labrador,Employment status,Employed in other than profession and seeking employment in profession,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,
Nurse practitioners,Newfoundland and Labrador,Employment status,Employed in other than profession and not seeking employment in profession,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
Nurse practitioners,Newfoundland and Labrador,Employment status,Not employed and seeking employment in profession,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2,0.0,,
Nurse practitioners,Newfoundland and Labrador,Employment status,Not employed and not seeking employment in profession,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,,
Nurse practitioners,Newfoundland and Labrador,Employment status,Not stated,0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,,
Nurse practitioners,Newfoundland and Labrador,Location of graduation,Canadian educated,136.0,149.0,164.0,167.0,180.0,190.0,206,230.0,259.0,287.0,,
Nurse practitioners,Newfoundland and Labrador,Location of graduation,Internationally educated,0.0,0.0,1.0,1.0,3.0,1.0,1,1.0,1.0,3.0,,
Nurse practitioners,Newfoundland and Labrador,Location of graduation,Not stated,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
Nurse practitioners,Newfoundland and Labrador,Years since graduation,<5 years,0.0,2.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,
Nurse practitioners,Newfoundland and Labrador,Years since graduation,5–10 years,9.0,18.0,29.0,28.0,34.0,32.0,41,48.0,54.0,51.0,,
Nurse practitioners,Newfoundland and Labrador,Years since graduation,11–20 years,40.0,36.0,36.0,43.0,57.0,68.0,70,77.0,97.0,122.0,,
Nurse practitioners,Newfoundland and Labrador,Years since graduation,21–30 years,53.0,59.0,61.0,60.0,57.0,52.0,57,61.0,60.0,59.0,,
Nurse practitioners,Newfoundland and Labrador,Years since graduation,31+ years,34.0,34.0,38.0,37.0,35.0,39.0,39,44.0,49.0,58.0,,
Nurse practitioners,Newfoundland and Labrador,Years since graduation,Not stated,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
Nurse practitioners,Prince Edward Island,Supply,Total,17.0,22.0,24.0,29.0,43.0,49.0,53,60.0,71.0,78.0,,
Nurse practitioners,Prince Edward Island,Age,Age <25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
Nurse practitioners,Prince Edward Island,Age,Age 25–34,7.0,6.0,5.0,6.0,17.0,17.0,14,13.0,14.0,15.0,,
Nurse practitioners,Prince Edward Island,Age,Age 35–44,7.0,11.0,14.0,15.0,16.0,19.0,26,30.0,35.0,36.0,,
Nurse practitioners,Prince Edward Island,Age,Age 45–54,2.0,5.0,5.0,7.0,10.0,10.0,10,13.0,17.0,19.0,,
Nurse practitioners,Prince Edward Island,Age,Age 55–64,1.0,0.0,0.0,1.0,0.0,3.0,3,4.0,5.0,8.0,,
Nurse practitioners,Prince Edward Island,Age,Age 65+,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
Nurse practitioners,Prince Edward Island,Age,Not stated,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
Nurse practitioners,Prince Edward Island,Age,Average age,38.6,38.2,39.2,40.4,38.6,39.2,40,41.2,41.2,42.1,,
Nurse practitioners,Prince Edward Island,Sex,Female,17.0,21.0,23.0,28.0,40.0,46.0,50,57.0,67.0,71.0,,
Nurse practitioners,Prince Edward Island,Sex,Male,0.0,1.0,1.0,1.0,3.0,3.0,3,3.0,4.0,4.0,,
Nurse practitioners,Prince Edward Island,Sex,Not stated,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,,
Nurse practitioners,Prince Edward Island,Inflow,Total,5.0,9.0,3.0,6.0,15.0,7.0,8,7.0,13.0,14.0,,
Nurse practitioners,Prince Edward Island,Inflow,Age <35,2.0,3.0,2.0,3.0,12.0,5.0,4,2.0,6.0,5.0,,
Nurse practitioners,Prince Edward Island,Inflow,Age 35–54,2.0,6.0,1.0,2.0,3.0,1.0,4,4.0,7.0,6.0,,
Nurse practitioners,Prince Edward Island,Inflow,Age 55+,1.0,0.0,0.0,1.0,0.0,1.0,0,1.0,0.0,3.0,,
Nurse practitioners,Prince Edward Island,Inflow,Age not stated,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
Nurse practitioners,Prince Edward Island,Outflow,Total,4.0,1.0,1.0,1.0,1.0,4.0,0,2.0,7.0,,,
Nurse practitioners,Prince Edward Island,Outflow,Age <35,2.0,1.0,1.0,0.0,1.0,2.0,0,0.0,0.0,,,
Nurse practitioners,Prince Edward Island,Outflow,Age 35–54,1.0,0.0,0.0,0.0,0.0,2.0,0,2.0,7.0,,,
Nurse practitioners,Prince Edward Island,Outflow,Age 55+,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,,,
Nurse practitioners,Prince Edward Island,Outflow,Age not stated,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,
Nurse practitioners,Prince Edward Island,Renewal,Total,12.0,13.0,21.0,23.0,28.0,42.0,45.0,53.0,58,64.0,,
Nurse practitioners,Prince Edward Island,Renewal,Age <35,5.0,3.0,3.0,3.0,5.0,12.0,10.0,11.0,8,10.0,,
Nurse practitioners,Prince Edward Island,Renewal,Age 35–54,7.0,10.0,18.0,20.0,23.0,28.0,32.0,39.0,45,49.0,,
Nurse practitioners,Prince Edward Island,Renewal,Age 55+,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5,5.0,,
Nurse practitioners,Prince Edward Island,Renewal,Age not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
Nurse practitioners,Prince Edward Island,Employment status,Employed in profession,14.0,22.0,24.0,28.0,38.0,45.0,,58.0,71,76.0,,
Nurse practitioners,Prince Edward Island,Employment status,Employed in other than profession and seeking employment in profession,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,,
Nurse practitioners,Prince Edward Island,Employment status,Employed in other than profession and not seeking employment in profession,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,,
Nurse practitioners,Prince Edward Island,Employment status,Not employed and seeking employment in profession,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0,0.0,,
Nurse practitioners,Prince Edward Island,Employment status,Not employed and not seeking employment in profession,1.0,0.0,0.0,0.0,1.0,2.0,,0.0,0,0.0,,
Nurse practitioners,Prince Edward Island,Employment status,Not stated,2.0,0.0,0.0,0.0,4.0,2.0,,2.0,0,2.0,,
Nurse practitioners,Prince Edward Island,Location of graduation,Canadian educated,,,23.0,27.0,,48.0,53.0,59.0,71,76.0,,
Nurse practitioners,Prince Edward Island,Location of graduation,Internationally educated,,,1.0,1.0,,1.0,0.0,1.0,0,2.0,,
Nurse practitioners,Prince Edward Island,Location of graduation,Not stated,,,0.0,1.0,,0.0,0.0,0.0,0,0.0,,
Nurse practitioners,Prince Edward Island,Years since graduation,<5 years,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0.0,,
Nurse practitioners,Prince Edward Island,Years since graduation,5–10 years,8.0,10.0,9.0,9.0,13.0,14.0,8.0,9.0,11,18.0,,
Nurse practitioners,Prince Edward Island,Years since graduation,11–20 years,7.0,10.0,12.0,16.0,25.0,29.0,33.0,41.0,48,45.0,,
Nurse practitioners,Prince Edward Island,Years since graduation,21–30 years,2.0,1.0,2.0,2.0,4.0,5.0,4.0,6.0,8,9.0,,
Nurse practitioners,Prince Edward Island,Years since graduation,31+ years,0.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,4,6.0,,
Nurse practitioners,Prince Edward Island,Years since graduation,Not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
Nurse practitioners,Nova Scotia,Supply,Total,149.0,146.0,163.0,182.0,204.0,220.0,240.0,274.0,330,368.0,,
Nurse practitioners,Nova Scotia,Age,Age <25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
Nurse practitioners,Nova Scotia,Age,Age 25–34,17.0,12.0,19.0,23.0,30.0,36.0,37.0,47.0,57,71.0,,
Nurse practitioners,Nova Scotia,Age,Age 35–44,45.0,47.0,53.0,56.0,64.0,69.0,78.0,90.0,118,132.0,,
Nurse practitioners,Nova Scotia,Age,Age 45–54,60.0,54.0,52.0,61.0,61.0,62.0,70.0,78.0,86,93.0,,
Nurse practitioners,Nova Scotia,Age,Age 55–64,26.0,32.0,37.0,39.0,46.0,50.0,51.0,52.0,59,61.0,,
Nurse practitioners,Nova Scotia,Age,Age 65+,1.0,1.0,2.0,3.0,3.0,3.0,4.0,7.0,10,11.0,,
Nurse practitioners,Nova Scotia,Age,Not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
Nurse practitioners,Nova Scotia,Age,Average age,46.3,47.2,46.4,46.2,46.0,45.8,45.5,45.3,45,44.6,,
Nurse practitioners,Nova Scotia,Sex,Female,143.0,138.0,156.0,175.0,194.0,205.0,219.0,248.0,303,339.0,,
Nurse practitioners,Nova Scotia,Sex,Male,6.0,8.0,7.0,7.0,10.0,15.0,21.0,26.0,27,29.0,,
Nurse practitioners,Nova Scotia,Sex,Not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
Nurse practitioners,Nova Scotia,Inflow,Total,12,9,29,28,30,28,38,46,71,63.0,,
Nurse practitioners,Nova Scotia,Inflow,Age <35,7,2,12,8,10,10,13,22,24,29.0,,
Nurse practitioners,Nova Scotia,Inflow,Age 35–54,5,7,16,19,17,18,25,22,37,32.0,,
Nurse practitioners,Nova Scotia,Inflow,Age 55+,0,0,1,1,3,0,0,2,10,2.0,,
Nurse practitioners,Nova Scotia,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0.0,,
Nurse practitioners,Nova Scotia,Outflow,Total,12,12,9,8,12,18,12,15,25,,,
Nurse practitioners,Nova Scotia,Outflow,Age <35,3,1,2,2,2,7,4,3,4,,,
Nurse practitioners,Nova Scotia,Outflow,Age 35–54,8,8,4,3,5,5,6,10,15,,,
Nurse practitioners,Nova Scotia,Outflow,Age 55+,1,3,3,3,5,6,2,2,6,,,
Nurse practitioners,Nova Scotia,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,,,
Nurse practitioners,Nova Scotia,Renewal,Total,137,137,134,154,174,192,202,228,259,305.0,,
Nurse practitioners,Nova Scotia,Renewal,Age <35,10,10,7,15,20,26,24,25,33,42.0,,
Nurse practitioners,Nova Scotia,Renewal,Age 35–54,100,94,89,98,108,113,123,146,167,193.0,,
Nurse practitioners,Nova Scotia,Renewal,Age 55+,27,33,38,41,46,53,55,57,59,70.0,,
Nurse practitioners,Nova Scotia,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0.0,,
Nurse practitioners,Nova Scotia,Employment status,Employed in profession,143,141,157,175,201,209,228,258,314,360.0,,
Nurse practitioners,Nova Scotia,Employment status,Employed in other than profession and seeking employment in profession,0,1,0,0,0,0,0,0,0,0.0,,
Nurse practitioners,Nova Scotia,Employment status,Employed in other than profession and not seeking employment in profession,0,0,0,0,0,0,0,0,0,0.0,,
Nurse practitioners,Nova Scotia,Employment status,Not employed and seeking employment in profession,0,0,0,0,0,2,0,3,16,4.0,,
Nurse practitioners,Nova Scotia,Employment status,Not employed and not seeking employment in profession,0,0,0,0,0,1,0,0,0,1.0,,
Nurse practitioners,Nova Scotia,Employment status,Not stated,6,4,6,7,3,8,12,13,0,3.0,,
Nurse practitioners,Nova Scotia,Location of graduation,Canadian educated,145,143,159,178,199,212,232,265,314,354.0,,
Nurse practitioners,Nova Scotia,Location of graduation,Internationally educated,4,3,4,4,5,8,8,9,16,14.0,,
Nurse practitioners,Nova Scotia,Location of graduation,Not stated,0,0,0,0,0,0,0,0,0,0.0,,
Nurse practitioners,Nova Scotia,Years since graduation,<5 years,1,0,0,0,0,0,0,0,0,0.0,,
Nurse practitioners,Nova Scotia,Years since graduation,5–10 years,18,14,26,28,37,34,38,42,57,80.0,,
Nurse practitioners,Nova Scotia,Years since graduation,11–20 years,42,44,41,53,64,80,89,112,144,150.0,,
Nurse practitioners,Nova Scotia,Years since graduation,21–30 years,52,46,50,52,49,53,58,61,55,64.0,,
Nurse practitioners,Nova Scotia,Years since graduation,31+ years,36,42,46,49,54,53,55,59,74,73.0,,
Nurse practitioners,Nova Scotia,Years since graduation,Not stated,0,0,0,0,0,0,0,0,0,1.0,,
Nurse practitioners,New Brunswick,Supply,Total,109,117,125,130,139,148,159,171,193,227.0,,
Nurse practitioners,New Brunswick,Age,Age <25,0,0,0,0,0,0,0,0,0,0.0,,
Nurse practitioners,New Brunswick,Age,Age 25–34,23.0,24.0,22,25.0,21.0,20.0,20.0,22.0,29.0,39.0,,
Nurse practitioners,New Brunswick,Age,Age 35–44,39.0,45.0,49,54.0,65.0,70.0,71.0,74.0,85.0,103.0,,
Nurse practitioners,New Brunswick,Age,Age 45–54,30.0,30.0,35,34.0,29.0,31.0,35.0,39.0,40.0,46.0,,
Nurse practitioners,New Brunswick,Age,Age 55–64,16.0,18.0,19,15.0,21.0,21.0,26.0,27.0,29.0,30.0,,
Nurse practitioners,New Brunswick,Age,Age 65+,1.0,0.0,0,2.0,3.0,6.0,7.0,9.0,10.0,9.0,,
Nurse practitioners,New Brunswick,Age,Not stated,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Nurse practitioners,New Brunswick,Age,Average age,43.4,43.3,44,43.3,43.8,44.2,44.9,44.7,44.5,43.7,,
Nurse practitioners,New Brunswick,Sex,Female,106.0,113.0,120,122.0,130.0,139.0,147.0,159.0,180.0,203.0,,
Nurse practitioners,New Brunswick,Sex,Male,3.0,4.0,5,8.0,9.0,9.0,12.0,12.0,12.0,18.0,,
Nurse practitioners,New Brunswick,Sex,Not stated,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,,
Nurse practitioners,New Brunswick,Inflow,Total,11.0,15.0,15,16.0,18.0,13.0,16.0,21.0,29.0,48.0,,
Nurse practitioners,New Brunswick,Inflow,Age <35,6.0,9.0,7,12.0,6.0,6.0,4.0,11.0,12.0,18.0,,
Nurse practitioners,New Brunswick,Inflow,Age 35–54,5.0,6.0,7,4.0,10.0,4.0,9.0,9.0,16.0,29.0,,
Nurse practitioners,New Brunswick,Inflow,Age 55+,0.0,0.0,1,0.0,2.0,3.0,3.0,1.0,1.0,1.0,,
Nurse practitioners,New Brunswick,Inflow,Age not stated,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Nurse practitioners,New Brunswick,Outflow,Total,7.0,7.0,11,9.0,4.0,5.0,9.0,7.0,14.0,,,
Nurse practitioners,New Brunswick,Outflow,Age <35,3.0,4.0,1,3.0,0.0,1.0,1.0,2.0,2.0,,,
Nurse practitioners,New Brunswick,Outflow,Age 35–54,3.0,3.0,5,6.0,1.0,3.0,6.0,3.0,7.0,,,
Nurse practitioners,New Brunswick,Outflow,Age 55+,1.0,0.0,5,0.0,3.0,1.0,2.0,2.0,5.0,,,
Nurse practitioners,New Brunswick,Outflow,Age not stated,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Nurse practitioners,New Brunswick,Renewal,Total,98.0,102.0,110,114.0,121.0,135.0,143.0,150.0,164.0,179.0,,
Nurse practitioners,New Brunswick,Renewal,Age <35,17.0,15.0,15,13.0,15.0,14.0,16.0,11.0,17.0,21.0,,
Nurse practitioners,New Brunswick,Renewal,Age 35–54,64.0,69.0,77,84.0,84.0,97.0,97.0,104.0,109.0,120.0,,
Nurse practitioners,New Brunswick,Renewal,Age 55+,17.0,18.0,18,17.0,22.0,24.0,30.0,35.0,38.0,38.0,,
Nurse practitioners,New Brunswick,Renewal,Age not stated,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Nurse practitioners,New Brunswick,Employment status,Employed in profession,106.0,113.0,121,126.0,135.0,144.0,152.0,161.0,191.0,219.0,,
Nurse practitioners,New Brunswick,Employment status,Employed in other than profession and seeking employment in profession,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Nurse practitioners,New Brunswick,Employment status,Employed in other than profession and not seeking employment in profession,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Nurse practitioners,New Brunswick,Employment status,Not employed and seeking employment in profession,0.0,1.0,0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,,
Nurse practitioners,New Brunswick,Employment status,Not employed and not seeking employment in profession,2.0,2.0,3,3.0,1.0,2.0,1.0,3.0,0.0,0.0,,
Nurse practitioners,New Brunswick,Employment status,Not stated,1.0,1.0,1,0.0,2.0,1.0,5.0,5.0,2.0,8.0,,
Nurse practitioners,New Brunswick,Location of graduation,Canadian educated,105.0,113.0,121,126.0,133.0,141.0,150.0,161.0,182.0,218.0,,
Nurse practitioners,New Brunswick,Location of graduation,Internationally educated,4.0,4,4.0,4.0,6.0,7.0,9.0,10,10,9,,
Nurse practitioners,New Brunswick,Location of graduation,Not stated,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,,
Nurse practitioners,New Brunswick,Years since graduation,<5 years,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
Nurse practitioners,New Brunswick,Years since graduation,5–10 years,19.0,25,21.0,27.0,20.0,22.0,20.0,23,29,36,,
Nurse practitioners,New Brunswick,Years since graduation,11–20 years,43.0,44,50.0,53.0,68.0,71.0,73.0,83,93,113,,
Nurse practitioners,New Brunswick,Years since graduation,21–30 years,30.0,31,31.0,30.0,27.0,26.0,33.0,28,33,42,,
Nurse practitioners,New Brunswick,Years since graduation,31+ years,17.0,17,23.0,20.0,24.0,29.0,33.0,37,38,36,,
Nurse practitioners,New Brunswick,Years since graduation,Not stated,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
Nurse practitioners,Quebec,Supply,Total,305.0,380,431.0,509.0,545.0,686.0,946.0,"1,183","1,411","1,667",,
Nurse practitioners,Quebec,Age,Age <25,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
Nurse practitioners,Quebec,Age,Age 25–34,136.0,170,163.0,175.0,167.0,201.0,306.0,411,507,603,,
Nurse practitioners,Quebec,Age,Age 35–44,125.0,157,208.0,261.0,296.0,374.0,495.0,590,682,793,,
Nurse practitioners,Quebec,Age,Age 45–54,34.0,41,49.0,61.0,67.0,87.0,113.0,150,186,228,,
Nurse practitioners,Quebec,Age,Age 55–64,10.0,12,11.0,11.0,15.0,23.0,30.0,29,34,40,,
Nurse practitioners,Quebec,Age,Age 65+,0.0,0,0.0,1.0,0.0,1.0,2.0,3,2,3,,
Nurse practitioners,Quebec,Age,Not stated,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
Nurse practitioners,Quebec,Age,Average age,37.1,37,37.3,37.8,38.3,38.5,38.2,38,38,38.1,,
Nurse practitioners,Quebec,Sex,Female,281.0,352,396.0,462.0,495.0,620.0,850.0,"1,063","1,265","1,477",,
Nurse practitioners,Quebec,Sex,Male,24.0,28,35.0,47.0,50.0,66.0,96.0,120,146,190,,
Nurse practitioners,Quebec,Sex,Not stated,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
Nurse practitioners,Quebec,Inflow,Total,59.0,81,59.0,86.0,53.0,154.0,271.0,253,249,275,,
Nurse practitioners,Quebec,Inflow,Age <35,36.0,59,35.0,42.0,37.0,78.0,150.0,159,167,181,,
Nurse practitioners,Quebec,Inflow,Age 35–54,23.0,21,24.0,44.0,15.0,73.0,118.0,92,82,93,,
Nurse practitioners,Quebec,Inflow,Age 55+,0.0,1,0.0,0.0,1.0,3.0,3.0,2,0,1,,
Nurse practitioners,Quebec,Inflow,Age not stated,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
Nurse practitioners,Quebec,Outflow,Total,6.0,8,8.0,17.0,13.0,11.0,16.0,21,19,,,
Nurse practitioners,Quebec,Outflow,Age <35,4.0,3,5.0,9.0,7.0,8.0,7.0,8,8,,,
Nurse practitioners,Quebec,Outflow,Age 35–54,2.0,3,2.0,7.0,6.0,3.0,4.0,10,10,,,
Nurse practitioners,Quebec,Outflow,Age 55+,0.0,2,1.0,1.0,0.0,0.0,5.0,3,1,,,
Nurse practitioners,Quebec,Outflow,Age not stated,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,
Nurse practitioners,Quebec,Renewal,Total,246.0,299,372.0,423.0,492.0,532.0,675.0,930,"1,162","1,392",,
Nurse practitioners,Quebec,Renewal,Age <35,100.0,111,128.0,133.0,130.0,123.0,156.0,252,340,422,,
Nurse practitioners,Quebec,Renewal,Age 35–54,136,177,233,278,348,388,490,648,786,928,,
Nurse practitioners,Quebec,Renewal,Age 55+,10,11,11,12,14,21,29,30,36,42,,
Nurse practitioners,Quebec,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,,
Nurse practitioners,Quebec,Employment status,Employed in profession,303,378,431,503,542,679,939,"1,172","1,402","1,655",,
Nurse practitioners,Quebec,Employment status,Employed in other than profession and seeking employment in profession,,,,,,,,,,,,
Nurse practitioners,Quebec,Employment status,Employed in other than profession and not seeking employment in profession,,,,,,,,,,,,
Nurse practitioners,Quebec,Employment status,Not employed and seeking employment in profession,,,,,,,,,,,,
Nurse practitioners,Quebec,Employment status,Not employed and not seeking employment in profession,,,,,,,,,,,,
Nurse practitioners,Quebec,Employment status,Not stated,2,2,0,6,3,7,7,11,9,12,,
Nurse practitioners,Quebec,Location of graduation,Canadian educated,303,378,429,505,540,678,931,"1,164","1,388","1,643",,
Nurse practitioners,Quebec,Location of graduation,Internationally educated,2,2,2,4,5,8,15,19,23,24,,
Nurse practitioners,Quebec,Location of graduation,Not stated,0,0,0,0,0,0,0,0,0,0,,
Nurse practitioners,Quebec,Years since graduation,<5 years,0,0,0,0,0,0,1,1,1,1,,
Nurse practitioners,Quebec,Years since graduation,5–10 years,113,121,121,123,114,150,242,332,411,497,,
Nurse practitioners,Quebec,Years since graduation,11–20 years,145,200,244,301,327,411,557,682,780,880,,
Nurse practitioners,Quebec,Years since graduation,21–30 years,37,45,50,65,82,98,117,136,186,251,,
Nurse practitioners,Quebec,Years since graduation,31+ years,10,14,16,20,22,27,29,32,33,38,,
Nurse practitioners,Quebec,Years since graduation,Not stated,0,0,0,0,0,0,0,0,0,0,,
Nurse practitioners,Ontario,Supply,Total,"2,520","2,769","3,011","3,206","3,451","3,681","3,861","4,135","4,407","4,710",,
Nurse practitioners,Ontario,Age,Age <25,0,0,0,0,0,0,0,0,0,0,,
Nurse practitioners,Ontario,Age,Age 25–34,477,545,614,635,649,684,651,727,758,806,,
Nurse practitioners,Ontario,Age,Age 35–44,704,811,918,"1,042","1,200","1,318","1,452","1,586","1,746","1,893",,
Nurse practitioners,Ontario,Age,Age 45–54,805,815,818,802,793,838,867,911,950,"1,000",,
Nurse practitioners,Ontario,Age,Age 55–64,484,539,578,637,683,693,716,721,753,790,,
Nurse practitioners,Ontario,Age,Age 65+,50,59,83,90,126,148,175,190,200,221,,
Nurse practitioners,Ontario,Age,Not stated,0,0,0,0,0,0,0,0,0,0,,
Nurse practitioners,Ontario,Age,Average age,45.4,45.2,45,44.9,45,44.8,45.1,44.8,44.8,44.8,,
Nurse practitioners,Ontario,Sex,Female,"2,369","2,600","2,823","2,999","3,221","3,426","3,584","3,812","4,050","4,301",,
Nurse practitioners,Ontario,Sex,Male,151,169,188,207,230,255,277,322,357,408,,
Nurse practitioners,Ontario,Sex,Not stated,0,0,0,0,0,0,0,1,0,1,,
